section,factor,factor_weight,metric,metric_weight,formula_id,source_priority

Economy / Tax Base,Economy / Tax Base,0.30,Tax Base Size (Full Value),0.333,tax_base_size,CreditScope|ACFR|OS|MoodysReport

Economy / Tax Base,Economy / Tax Base,0.30,Full Value Per Capita,0.333,full_value_per_capita,CreditScope|ACFR|OS|Census

Economy / Tax Base,Economy / Tax Base,0.30,Wealth (Median Family Income),0.334,wealth_ratio,CreditScope|ACS

Finance,Finance,0.30,Fund Balance Ratio,0.333,fund_balance_ratio,CreditScope|ACFR

Finance,Finance,0.30,Fund Balance Trend (5-Year Change),0.167,fund_balance_trend_5yr,CreditScope|ACFR

Finance,Finance,0.30,Cash Balance Ratio,0.333,cash_balance_ratio,CreditScope|ACFR

Finance,Finance,0.30,Cash Balance Trend (5-Year Change),0.167,cash_balance_trend_5yr,CreditScope|ACFR

Management,Management,0.20,Institutional Framework,0.50,institutional_framework_rating,Manual

Management,Management,0.20,Operating History,0.50,operating_history_ratio,CreditScope|ACFR

Debt / Pensions,Debt / Pensions,0.20,Debt to Full Value,0.25,debt_to_full_value,CreditScope|ACFR

Debt / Pensions,Debt / Pensions,0.20,Debt to Revenue,0.25,debt_to_revenue,CreditScope|ACFR

Debt / Pensions,Debt / Pensions,0.20,Adjusted NPL to Full Value,0.25,adjusted_npl_to_full_value,CreditScope|MoodysReport|ACFR

Debt / Pensions,Debt / Pensions,0.20,Adjusted NPL to Revenue,0.25,adjusted_npl_to_revenue,CreditScope|MoodysReport|ACFR
